Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2018-01-09 03:39:00,143.83588876404968,145.07388096599993,0,[0.00776667],0.0,2.103325412910515,2.103325412910515
2018-01-09 03:40:00,143.8220371526493,145.07388096599993,0,[0.0071],0.0,2.1016724839284464,2.1016724839284464
2018-01-09 03:41:00,143.80927842061837,145.07388096599993,0,[0.0071],0.0,2.1001504059925593,2.1001504059925593
2018-01-09 03:42:00,143.79758013065,143.85959304057587,0,[0.0071],0.0,2.098755203488465,2.098755203488465
2018-01-09 03:43:00,143.78690640504766,143.85959304057587,0,[0.00655],0.0,2.0974825033325746,2.0974825033325746
2018-01-09 03:44:00,143.7772181338437,143.85959304057587,0,[0.00655],0.0,2.0963275593504656,2.0963275593504656
2018-01-09 03:45:00,143.76847325651102,141.62820000083826,0,[0.00655],0.0,2.0952852852962165,2.0952852852962165
2018-01-09 03:46:00,143.76062711189832,141.62820000083826,0,[0.00611667],0.0,2.0943502958847744,2.0943502958847744
2018-01-09 03:47:00,143.75363283388387,141.62820000083826,0,[0.00611667],0.0,2.093516953172992,2.093516953172992
2018-01-09 03:48:00,143.74744178787748,138.7560025799249,0,[0.00611667],0.0,2.092779417731165,2.092779417731165
2018-01-09 03:49:00,143.74200404048153,138.7560025799249,0,[0.00581667],0.0,2.092131703712752,2.092131703712752
2018-01-09 03:50:00,143.7372688423117,138.7560025799249,0,[0.00581667],0.0,2.0915677354640803,2.0915677354640803
2018-01-09 03:51:00,143.7331851175826,135.61912725756198,0,[0.00581667],0.0,2.0910814049359847,2.0910814049359847
2018-01-09 03:52:00,143.7297019535957,135.61912725756198,0,[0.00563333],0.0,2.0906666291020475,2.0906666291020475
2018-01-09 03:53:00,143.7267690756057,135.61912725756198,0,[0.00563333],0.0,2.090317405672005,2.090317405672005
2018-01-09 03:54:00,143.72433730188345,132.59363517689962,0,[0.00563333],0.0,2.090027866499628,2.090027866499628
2018-01-09 03:55:00,143.72235897454374,132.59363517689962,0,[0.005575],0.0,2.0897923281682766,2.0897923281682766
2018-01-09 03:56:00,143.72078835727987,132.59363517689962,0,[0.005575],0.0,2.0896053387082465,2.0896053387082465
2018-01-09 03:57:00,143.71958199550141,130.05563707955218,0,[0.005575],0.0,2.08946171991398,2.08946171991398
2018-01-09 03:58:00,143.71869903634183,130.05563707955218,0,[0.00565],0.0,2.0893566049605155,2.0893566049605155
2018-01-09 03:59:00,143.71810150500733,130.05563707955218,0,[0.00565],0.0,2.089285470898195,2.089285470898195
2018-01-09 04:00:00,143.7177545329352,128.38139538691138,0,[0.00565],0.0,2.089244165481653,2.089244165481653
